series,n,mean_dove,mean_base,mean_hawk,dur_dove,dur_base,dur_hawk,erg_dove,erg_base,erg_hawk
COMPOSITE,378,0.22348286003622006,1.2775900296585747,4.191009805235179,105.07994821007269,73.03515344660089,49.3987654889879,0.22904865746985553,0.5241257927083587,0.24682554982178587
ITA,378,0.2683805393904928,1.4190297194084713,3.671206792485903,100.61211114279298,52.76470769741211,28.120348897789537,0.2250084747267639,0.5465838696429738,0.22840765563026236
ESP,378,0.16252633579036133,0.957953710339279,3.218742695304944,105.98212168251531,70.50491954672887,54.47631229317689,0.2323860806023597,0.4999219933960027,0.2676919260016375
PRT,377,0.24325206515492018,0.9178462429522474,4.308975194042031,100.37025584768108,37.69449738708297,84.2511362086481,0.38038799671252405,0.29022354485716767,0.32938845843030823
GRC,348,0.3804340587961247,2.05414919719386,9.632140781021592,78.97786427645495,41.187518198400966,49.6276221921792,0.3622356039649335,0.3924772042488695,0.24528719178619704
