date,dove,base,hawk
1997-06-01,7.033904737689573e-60,0.7204898666969723,0.2795101333030258
1997-07-01,3.6506260130945e-79,0.6989813389513012,0.3010186610486972
1997-08-01,2.0991015312595774e-83,0.6537005769756343,0.3462994230243641
1997-09-01,3.117502368169969e-78,0.579175908391251,0.4208240916087473
1997-10-01,1.4001736707932095e-74,0.4242922061767123,0.575707793823286
1997-11-01,6.932937820965471e-150,0.028009155334639133,0.9719908446653591
1997-12-01,2.0145966147733996e-148,0.002073028510440531,0.9979269714895579
1998-01-01,9.790296196257839e-197,6.872608627798971e-05,0.9999312739137204
1998-02-01,4.027686373527109e-205,0.0012566721953436463,0.9987433278046546
1998-03-01,3.88409350693333e-105,0.354706245909899,0.645293754090099
1998-04-01,5.797573960604957e-54,0.8922548492920457,0.10774515070795194
1998-05-01,6.2056994243386355e-43,0.9868052889009834,0.013194711099014362
1998-06-01,1.1886574601990923e-44,0.9981774737184941,0.0018225262815036668
1998-07-01,4.833081902126186e-46,0.9996096093207644,0.00039039067923343074
1998-08-01,5.43626848282588e-51,0.9996699866098365,0.00033001339016127605
1998-09-01,1.4693254974094886e-93,0.9989222298029553,0.0010777701970424258
1998-10-01,5.676043235120062e-103,0.9987059082062093,0.001294091793788568
1998-11-01,2.3512814076806026e-65,0.9995768284651433,0.0004231715348546831
1998-12-01,5.228092676354849e-57,0.9998645092063223,0.00013549079367574494
1999-01-01,1.751276456890642e-34,0.9999610453995684,3.8954600429429734e-05
1999-02-01,2.1452412488913766e-23,0.9999765721621595,2.3427837838408364e-05
1999-03-01,4.909573387269758e-14,0.9999790820898624,2.0917910086317776e-05
1999-04-01,5.004293831806688e-16,0.9999792956974741,2.0704302523272597e-05
1999-05-01,1.5408363561385888e-11,0.9999785962251543,2.1403759435372978e-05
1999-06-01,4.530175482642296e-10,0.9999778648949266,2.2134652053742494e-05
1999-07-01,4.0085305094683953e-10,0.9999778595401179,2.2140059027304323e-05
1999-08-01,9.497691608114671e-11,0.999978087896357,2.191200866409766e-05
1999-09-01,1.3064471451089398e-08,0.9999767088872566,2.32780482699751e-05
1999-10-01,1.1520394974161263e-09,0.9999773332287272,2.266561923119353e-05
1999-11-01,3.171525734163998e-08,0.999975828163397,2.4140121343339845e-05
1999-12-01,1.9687110882610747e-05,0.9999512253656252,2.9087523490001965e-05
2000-01-01,2.8748087266709523e-06,0.999969968474268,2.715671700306167e-05
2000-02-01,7.077643689271213e-05,0.9999006541102826,2.8569452822502863e-05
2000-03-01,0.0012260418003027834,0.9987437977980479,3.016040164718267e-05
2000-04-01,0.00709333160815012,0.9928764466609108,3.022173093721893e-05
2000-05-01,0.02832010931561829,0.9716501391946338,2.9751489745930198e-05
2000-06-01,0.06879995051674909,0.9311745563478131,2.5493135435890504e-05
2000-07-01,0.18415375929472416,0.8158248754765718,2.1365228702055503e-05
2000-08-01,0.3329913304216242,0.6669952767663141,1.3392812059554395e-05
2000-09-01,0.5722513297812435,0.4277418990342094,6.771184545127072e-06
2000-10-01,0.7877089535532489,0.21228884176898596,2.2046777631162275e-06
2000-11-01,0.9315849660693387,0.06841462165617035,4.122744887595222e-07
2000-12-01,0.9876473163291536,0.012352642446681269,4.122416277211017e-08
2001-01-01,0.9988393330192502,0.0011606618074816051,5.1732660619099e-09
2001-02-01,0.9998520418481003,0.00014795744173955554,7.10157803430779e-10
2001-03-01,0.9999548929605627,4.510696500755953e-05,7.442726748437166e-11
2001-04-01,0.9999791147631254,2.0885225832735393e-05,1.1039577923217693e-11
2001-05-01,0.9999874766945647,1.2523301871124858e-05,3.5617813269805666e-12
2001-06-01,0.9999886467607201,1.1353236996712304e-05,2.2808410380671902e-12
2001-07-01,0.9999873706381325,1.262935962705989e-05,2.2379891489042565e-12
2001-08-01,0.9999871984305846,1.2801567043799341e-05,2.369204622791985e-12
2001-09-01,0.9999878450923922,1.2154905546485442e-05,2.058941137427568e-12
2001-10-01,0.9999892880798527,1.071191847601418e-05,1.6689906063614362e-12
2001-11-01,0.999990174465549,9.825533250604057e-06,1.197915041877232e-12
2001-12-01,0.9999916970879581,8.30291106733022e-06,9.723596251710524e-13
2002-01-01,0.9999921033036925,7.896695459376794e-06,8.459481829683908e-13
2002-02-01,0.9999918548688571,8.145130373722862e-06,7.668566494001561e-13
2002-03-01,0.9999922668042196,7.733194983509783e-06,7.947691192856071e-13
2002-04-01,0.9999922510926791,7.748906566913649e-06,7.51816652845677e-13
2002-05-01,0.9999922688578222,7.731141426492341e-06,7.490741519101473e-13
2002-06-01,0.999992319858828,7.680140416771561e-06,7.527967093476161e-13
2002-07-01,0.9999923170117299,7.682987509682427e-06,7.578333219840548e-13
2002-08-01,0.9999922131681878,7.786831068275471e-06,7.411760215484293e-13
2002-09-01,0.9999923091394556,7.690859788417773e-06,7.533208974821139e-13
2002-10-01,0.9999923525984846,7.647400733552612e-06,7.790996321814557e-13
2002-11-01,0.9999921521511009,7.84784800204466e-06,8.942292724001707e-13
2002-12-01,0.9999916368307661,8.363168219603792e-06,1.0115621592122212e-12
2003-01-01,0.9999917298950738,8.270103920303497e-06,1.002951393456546e-12
2003-02-01,0.9999921563621014,7.84363696077604e-06,9.349794189994343e-13
2003-03-01,0.9999918637223288,8.136276655907682e-06,1.0123098025376668e-12
2003-04-01,0.9999913347883224,8.665210422707364e-06,1.2519397577010419e-12
2003-05-01,0.9999905386291329,9.461369281842074e-06,1.5822508999239605e-12
2003-06-01,0.9999899916118002,1.0008385991362338e-05,2.2056547782715154e-12
2003-07-01,0.9999878452282677,1.2154768894326691e-05,2.8352252467142596e-12
2003-08-01,0.9999883650089514,1.1634987692225308e-05,3.353606936836511e-12
2003-09-01,0.9999878037164716,1.2196280242156087e-05,3.2835768161009165e-12
2003-10-01,0.9999883250446676,1.1674952068421768e-05,3.2611484928647122e-12
2003-11-01,0.999988283291485,1.171670542226446e-05,3.08996829161091e-12
2003-12-01,0.9999885010927024,1.149890470590061e-05,2.588685226214106e-12
2004-01-01,0.9999902795194364,9.720478733845862e-06,1.826736545318855e-12
2004-02-01,0.9999914636391947,8.536359540852695e-06,1.2614175844194553e-12
2004-03-01,0.9999918061762892,8.193822650639549e-06,1.0569586945331682e-12
2004-04-01,0.9999917531051555,8.24689377838477e-06,1.0630427372602596e-12
2004-05-01,0.999991449977023,8.550021836803681e-06,1.1370947219181674e-12
2004-06-01,0.9999914026073223,8.5973913767197e-06,1.2978409919459474e-12
2004-07-01,0.9999905127739149,9.487224562311608e-06,1.5199100052072081e-12
2004-08-01,0.9999903537166159,9.646281704821802e-06,1.6763200951676481e-12
2004-09-01,0.9999904937693643,9.506229010392664e-06,1.6225006334104392e-12
2004-10-01,0.9999907988159116,9.20118242667235e-06,1.65913986254158e-12
2004-11-01,0.9999899784152374,1.00215829148255e-05,1.845110210451067e-12
2004-12-01,0.9999897656074562,1.0234389872908906e-05,2.668365193143737e-12
2005-01-01,0.9999863044449294,1.3695551581914654e-05,3.486142635055981e-12
2005-02-01,0.999987690271491,1.2309725504725353e-05,3.0014692735694183e-12
2005-03-01,0.9999909869055664,9.013092793278673e-06,1.6372905563327717e-12
2005-04-01,0.9999920731381727,7.926860837591199e-06,9.867129791084076e-13
2005-05-01,0.9999922707013301,7.729297841226468e-06,8.257389941587034e-13
2005-06-01,0.9999923258266395,7.674172523990052e-06,8.334881063508713e-13
2005-07-01,0.9999917992875041,8.20071150251752e-06,9.903714378406233e-13
2005-08-01,0.9999914625286446,8.537470213723786e-06,1.1389597034404547e-12
2005-09-01,0.9999913114444867,8.688554231232872e-06,1.2793971423189924e-12
2005-10-01,0.9999907936696402,9.206328985157326e-06,1.3720723763103338e-12
2005-11-01,0.9999910605461412,8.939452511860138e-06,1.3445923003922788e-12
2005-12-01,0.9999913597469358,8.640251914471171e-06,1.1471695428607043e-12
