date,dove,base,hawk
1995-01-01,6.612001801662213e-234,4.4835874710746746e-24,0.9999999999999993
1995-02-01,1.63560320106772e-263,4.5262604508216946e-27,0.9999999999999992
1995-03-01,2.07068673e-316,2.1092958539150363e-33,0.9999999999999992
1995-04-01,0.0,1.1846455838693794e-39,0.9999999999999992
1995-05-01,0.0,4.5609057658458677e-39,0.9999999999999992
1995-06-01,0.0,4.314141678739106e-40,0.9999999999999992
1995-07-01,0.0,2.1267536876880072e-35,0.9999999999999992
1995-08-01,1.2458049960382195e-298,2.9127221878319172e-31,0.9999999999999992
1995-09-01,9.73508210033802e-299,2.8277430669150917e-31,0.9999999999999992
1995-10-01,3.25762391616064e-310,1.1785149847812652e-32,0.9999999999999992
1995-11-01,4.031192791211321e-278,8.287727016779136e-29,0.9999999999999992
1995-12-01,3.0986003976073403e-227,8.42783330161899e-23,0.9999999999999992
1996-01-01,6.0652185068905915e-186,4.888259730393194e-18,0.9999999999999992
1996-02-01,5.854620900658835e-155,7.527042293845914e-15,0.9999999999999917
1996-03-01,2.7939497131535168e-132,1.0478010087370977e-12,0.9999999999989514
1996-04-01,7.573830712576626e-105,5.221267708189017e-10,0.9999999994778724
1996-05-01,5.246057214972809e-91,7.100792480099453e-09,0.9999999928992068
1996-06-01,1.1111173550063707e-76,1.4070820100839913e-07,0.9999998592917981
1996-07-01,1.6176290493642074e-69,4.7067348318337506e-07,0.999999529326516
1996-08-01,3.579993491593976e-76,2.2526993492406816e-06,0.9999977473006499
1996-09-01,6.266110926415829e-57,0.008916377514073303,0.991083622485926
1996-10-01,1.9046929086604619e-31,0.597615328716741,0.40238467128325855
1996-11-01,1.0614162405600682e-20,0.9488787022727797,0.05112129772721951
1996-12-01,2.440796832181446e-16,0.9960462153833332,0.0039537846166657975
1997-01-01,8.95173108703121e-11,0.9997785344680047,0.0002214654424770685
1997-02-01,3.404446981131745e-15,0.9999716608119283,2.8339188067544062e-05
1997-03-01,3.5121766308176834e-16,0.9999841690509733,1.5830949025607986e-05
1997-04-01,4.0824615732713106e-11,0.999989779723765,1.0220235409623612e-05
1997-05-01,1.5593072185993245e-07,0.999989296971597,1.0547097680343282e-05
1997-06-01,5.529448568102239e-07,0.99998832400055,1.1123054592116977e-05
1997-07-01,2.4728681619677064e-06,0.9999867022831508,1.0824848686242671e-05
1997-08-01,0.0007756765890113712,0.9992155595006171,8.763910370472689e-06
1997-09-01,0.1845055834554312,0.8154914358286688,2.9807158989821076e-06
1997-10-01,0.8079276647523256,0.19207126275659672,1.0724910761335662e-06
1997-11-01,0.9584341027962933,0.04156578320531476,1.1399839041409214e-07
1997-12-01,0.9957652084229855,0.0042347821506453255,9.426367553642192e-09
1998-01-01,0.9997315284761139,0.00026847029226792686,1.2316165159204113e-09
1998-02-01,0.9999607551646023,3.924471872513265e-05,1.1667095479296903e-10
1998-03-01,0.9999791032279076,2.089676468548178e-05,7.405333927726234e-12
1998-04-01,0.9999919434930764,8.056505097996003e-06,1.824072766015628e-12
1998-05-01,0.9999946263495828,5.373649480691709e-06,9.350393479129e-13
1998-06-01,0.9999929501316275,7.049867675840569e-06,6.94887515331146e-13
1998-07-01,0.9999921992680244,7.800729964491778e-06,2.009399150676199e-12
1998-08-01,0.9999826411535668,1.7358840342380563e-05,6.0888913499199774e-12
1998-09-01,0.9999603188448852,3.9681143197772205e-05,1.1915161208798592e-11
1998-10-01,0.9999740637172797,2.593627209940054e-05,1.061908756822859e-11
1998-11-01,0.9999878157236307,1.218427316872681e-05,3.198567711304076e-12
1998-12-01,0.9999930291135127,6.9708855380873734e-06,9.473012918196433e-13
1999-01-01,0.9999951384709624,4.861528510949204e-06,5.247203985870804e-13
1999-02-01,0.9999955718284426,4.4281710948236826e-06,4.605750681918717e-13
1999-03-01,0.9999950117695829,4.98822978638061e-06,6.284461077706984e-13
1999-04-01,0.9999916723136838,8.327685395675965e-06,9.183106490157935e-13
1999-05-01,0.9999890002045976,1.0999793856424266e-05,1.5440933660299198e-12
1999-06-01,0.9999895676837126,1.0432313935775719e-05,2.3495720663552183e-12
1999-07-01,0.999987630233488,1.2369763146523e-05,3.3635033340597238e-12
1999-08-01,0.9999823309366611,1.7669057195253792e-05,6.141544707181177e-12
1999-09-01,0.9999752370836232,2.4762910145330353e-05,6.2295338840747164e-12
1999-10-01,0.9999847566581681,1.5243335732734536e-05,6.0972256780795496e-12
1999-11-01,0.9999868622867826,1.313770991831029e-05,3.2972766759145794e-12
1999-12-01,0.9999883190750833,1.168092305506102e-05,1.859940416251195e-12
2000-01-01,0.9999921230826881,7.876915853442334e-06,1.4564859864261125e-12
2000-02-01,0.9999922360231597,7.763975783671997e-06,1.0546476985950467e-12
2000-03-01,0.9999918026811471,8.197317618355915e-06,1.2328583643661452e-12
2000-04-01,0.9999903216826769,9.678315768271783e-06,1.5528928680913054e-12
2000-05-01,0.9999890067582982,1.0993238575567838e-05,3.124531873250439e-12
2000-06-01,0.9999814122645673,1.8587731049364016e-05,4.38151126247985e-12
2000-07-01,0.9999811831450192,1.8816846180258737e-05,8.798772509329242e-12
2000-08-01,0.9999766891288091,2.3310860118007527e-05,1.1070836156844643e-11
2000-09-01,0.9999733677038947,2.663228032649768e-05,1.5776691934595513e-11
2000-10-01,0.9999701843909231,2.981558881572088e-05,2.025897538440823e-11
2000-11-01,0.9999674881646035,3.251180935985824e-05,2.603439085045809e-11
2000-12-01,0.9999627674503844,3.723252832532694e-05,2.1288426658709504e-11
2001-01-01,0.9999743602246093,2.56397486114113e-05,2.677756308313255e-11
2001-02-01,0.9999674158717393,3.258408169101235e-05,4.6567607002398845e-11
2001-03-01,0.9999177349962657,8.226491214137279e-05,9.159101920230993e-11
2001-04-01,0.9998940463160821,0.00010595358507588776,9.883998464428866e-11
2001-05-01,0.9999572690497511,4.273086832119861e-05,8.19259977921887e-11
2001-06-01,0.9999647964492363,3.520351835913145e-05,3.24026936243123e-11
2001-07-01,0.9999693225636932,3.067741450343671e-05,2.1801431458243293e-11
2001-08-01,0.9999736523351559,2.6347649725533422e-05,1.51167047725227e-11
2001-09-01,0.999978115861259,2.1884130879277616e-05,7.859927413776421e-12
2001-10-01,0.999986260412323,1.373958296944169e-05,4.705673893074157e-12
2001-11-01,0.9999882798731169,1.1720124906530285e-05,1.9744484308101152e-12
2001-12-01,0.9999920142123168,7.985786662003085e-06,1.0190294086551036e-12
2002-01-01,0.9999946269225191,5.373076748533233e-06,7.300369200342142e-13
2002-02-01,0.999994337297167,5.6627023415658315e-06,4.890722814626749e-13
2002-03-01,0.9999943668693828,5.633130086693888e-06,5.278713363757992e-13
2002-04-01,0.9999941795201476,5.820479331076798e-06,5.188167998282166e-13
2002-05-01,0.9999942415704699,5.758428955824294e-06,5.717515612083224e-13
2002-06-01,0.9999938540725806,6.145926809781381e-06,6.072588046709344e-13
2002-07-01,0.9999933906303263,6.609368988040665e-06,6.832068633363383e-13
2002-08-01,0.9999930189854495,6.981013886778776e-06,6.614286775240162e-13
2002-09-01,0.9999937445072123,6.2554921422193995e-06,6.43005812899027e-13
2002-10-01,0.999994160804135,5.839195418460833e-06,4.440188625766258e-13
2002-11-01,0.9999955507467521,4.449252784866539e-06,4.606223857044168e-13
2002-12-01,0.9999957636910798,4.236308385705036e-06,5.31876424762933e-13
2003-01-01,0.9999955917485982,4.408250758466396e-06,6.406913178320345e-13
2003-02-01,0.9999955273929164,4.472606359280613e-06,7.217248395838054e-13
2003-03-01,0.999995425009033,4.574990021157259e-06,9.431726459190273e-13
2003-04-01,0.9999944487288042,5.5512699015112425e-06,1.291756426887383e-12
2003-05-01,0.9999956052091724,4.394790065599923e-06,7.594006981870137e-13
2003-06-01,0.9999957464496346,4.253549975964516e-06,3.8709477506061784e-13
2003-07-01,0.9999958082703071,4.191729255744815e-06,4.349189667128184e-13
2003-08-01,0.9999958111302264,4.1888693467894154e-06,4.246183645484827e-13
2003-09-01,0.9999957925771674,4.207422372215577e-06,4.583762613326302e-13
2003-10-01,0.9999958045687874,4.195430809838821e-06,4.007376323349342e-13
2003-11-01,0.9999958075395835,4.1924599743346135e-06,4.401989524903329e-13
2003-12-01,0.9999957410555576,4.258943897223034e-06,5.431718802067038e-13
2004-01-01,0.9999954572958688,4.542703402032904e-06,7.27166409487791e-13
2004-02-01,0.9999954639584725,4.536040772140758e-06,7.531894669787849e-13
2004-03-01,0.9999955510280936,4.448971234514792e-06,6.695884143230577e-13
2004-04-01,0.9999957420340959,4.257965498434482e-06,4.0346925002426225e-13
2004-05-01,0.9999956530484603,4.346951185516536e-06,3.5190317361208914e-13
2004-06-01,0.9999957233355462,4.276664077805714e-06,3.734842521625393e-13
2004-07-01,0.9999957661618342,4.233837659637448e-06,5.036002266566818e-13
2004-08-01,0.9999956847499336,4.3152495042763655e-06,5.594189195255731e-13
2004-09-01,0.9999957102030332,4.2897964027530964e-06,5.613627913722621e-13
2004-10-01,0.9999956387355255,4.3612638398962615e-06,6.317733524679251e-13
2004-11-01,0.9999954476541933,4.5523449713113805e-06,8.326814946542983e-13
2004-12-01,0.9999950459618612,4.9540365172652845e-06,1.6189397134691546e-12
2005-01-01,0.999992702591007,7.297405067475235e-06,3.922963157156118e-12
2005-02-01,0.9999931586433026,6.84135171247436e-06,4.982231874630512e-12
2005-03-01,0.9999931014168248,6.89857879103812e-06,4.381479296165899e-12
2005-04-01,0.999993769251221,6.230745765194881e-06,3.0110066009821e-12
2005-05-01,0.9999947400524467,5.259945855382248e-06,1.6952917304948062e-12
2005-06-01,0.9999951863996641,4.813599337110057e-06,9.962588867932327e-13
2005-07-01,0.9999957704353231,4.2295642192315865e-06,4.551793420548739e-13
2005-08-01,0.9999957238001889,4.276199438739334e-06,3.6960067585655456e-13
2005-09-01,0.999995689961484,4.310038155814882e-06,3.574567972211947e-13
2005-10-01,0.9999957588616302,4.241137989868832e-06,3.773533161906925e-13
2005-11-01,0.9999958101167122,4.189882863371045e-06,4.2161874696248274e-13
2005-12-01,0.9999958024462677,4.197553283930764e-06,4.455332820918232e-13
2006-01-01,0.999995810847559,4.18915201098662e-06,4.271141799072097e-13
2006-02-01,0.9999958102649994,4.189734568885218e-06,4.289943929224694e-13
2006-03-01,0.9999958115995063,4.188400076318044e-06,4.144722608328025e-13
2006-04-01,0.9999958082135737,4.191786008220471e-06,4.1540117285859923e-13
2006-05-01,0.9999957417843596,4.258215134984267e-06,5.025859540393277e-13
2006-06-01,0.9999958013574386,4.19864215427153e-06,4.042522279749698e-13
2006-07-01,0.9999958039463254,4.196053225742879e-06,4.461935360255498e-13
2006-08-01,0.9999955535600396,4.446439609687356e-06,3.4803111139251393e-13
2006-09-01,0.9999955378736876,4.462125927214048e-06,3.82713744387679e-13
2006-10-01,0.9999953199978353,4.680001815083544e-06,3.47147723922678e-13
2006-11-01,0.9999955353966545,4.4646029456004926e-06,3.9767975471362514e-13
2006-12-01,0.9999953691031147,4.630896543490134e-06,3.3976636131671025e-13
2007-01-01,0.9999956732343213,4.326765296213533e-06,3.80356272272664e-13
2007-02-01,0.9999957935809914,4.20641859528027e-06,4.111038115285071e-13
2007-03-01,0.9999957156260414,4.284373599150587e-06,3.5752702538510507e-13
2007-04-01,0.999995772036655,4.2279629503680626e-06,3.9273837991026233e-13
2007-05-01,0.9999956928948404,4.3071047772630966e-06,3.805433238480742e-13
2007-06-01,0.9999954765962349,4.5234033308355546e-06,4.323428211329602e-13
2007-07-01,0.9999945013318607,5.498667646774005e-06,4.906218627660409e-13
2007-08-01,0.9999933448822707,6.655117046866965e-06,6.808055299675919e-13
2007-09-01,0.9999922443302186,7.755669109742376e-06,6.699666039509631e-13
2007-10-01,0.9999938722582263,6.127740628553403e-06,1.1433851818832442e-12
2007-11-01,0.9999910928681698,8.90712763890607e-06,4.189699201244016e-12
2007-12-01,0.9999668370272418,3.31628886618576e-05,8.409477522691316e-11
2008-01-01,0.9994616465419489,0.000538352063918651,1.3941309171830124e-09
2008-02-01,0.9905311259742179,0.009468853099425247,2.0926355378676547e-08
2008-03-01,0.8778143767298966,0.12218547965195667,1.4361814510364923e-07
2008-04-01,0.8597035178735373,0.14029406410362086,2.4180228403347574e-06
2008-05-01,0.8412930332265013,0.15870287884892703,4.087924570167622e-06
2008-06-01,0.7571220870494586,0.24287387187325038,4.041077289672523e-06
2008-07-01,0.571063463933128,0.42893111658834826,5.419478522147249e-06
2008-08-01,0.28672542010170166,0.7132662951631064,8.284735190711004e-06
2008-09-01,0.0370096923770714,0.9629797761621892,1.0531460738049072e-05
2008-10-01,0.0002385126194003943,0.9997505333885007,1.095399209763953e-05
2008-11-01,4.1081114320060676e-08,0.9999900005025109,9.958416373589453e-06
2008-12-01,1.0450092493642991e-11,0.9999889773518236,1.1022637725114909e-05
2009-01-01,1.0387473503939127e-18,0.9999732169902171,2.6783009781448903e-05
2009-02-01,5.52667468102687e-23,0.9999176717049275,8.23282950711374e-05
2009-03-01,2.3911448289531324e-32,0.9997423026406889,0.00025769735930986076
2009-04-01,3.981618736526084e-23,0.9999197610112498,8.02389887489975e-05
2009-05-01,7.811379773224558e-11,0.9999864271011505,1.3572820734273356e-05
2009-06-01,4.2662896556846594e-13,0.9999888387864375,1.1161213134793064e-05
2009-07-01,1.0820815300825798e-10,0.9999900643450884,9.935546702264536e-06
2009-08-01,2.321074713971652e-06,0.9999855529885214,1.2125936763454879e-05
2009-09-01,1.2256763094709392e-06,0.9999869649708382,1.1809352851357756e-05
2009-10-01,2.848622779260533e-06,0.9999845113454158,1.2640031804013064e-05
