date,dove,base,hawk
1995-01-01,0.0,1.5025193663104042e-14,0.9999999999999802
1995-02-01,0.0,8.134028144325665e-18,0.9999999999999954
1995-03-01,0.0,1.4518744240402686e-28,0.9999999999999956
1995-04-01,0.0,5.2655210332420025e-30,0.9999999999999956
1995-05-01,0.0,1.1915065178435037e-21,0.9999999999999956
1995-06-01,0.0,4.354264998591274e-23,0.9999999999999956
1995-07-01,0.0,6.610129083607441e-21,0.9999999999999956
1995-08-01,0.0,2.268914009048335e-17,0.9999999999999956
1995-09-01,0.0,9.585137961692662e-18,0.9999999999999956
1995-10-01,0.0,2.6231485740547197e-21,0.9999999999999956
1995-11-01,0.0,2.256889070131425e-20,0.9999999999999956
1995-12-01,0.0,8.004176385196432e-19,0.9999999999999956
1996-01-01,0.0,1.0148222586570913e-14,0.9999999999999853
1996-02-01,0.0,3.48922812779193e-13,0.9999999999996466
1996-03-01,0.0,1.0050719522617325e-12,0.9999999999989907
1996-04-01,0.0,4.9994977490347856e-11,0.9999999999500008
1996-05-01,0.0,2.0673439384697993e-07,0.9999997932656018
1996-06-01,2.794983167802518e-286,2.036929910547656e-06,0.9999979630700851
1996-07-01,3.397958934543843e-273,3.533185931724546e-06,0.9999964668140638
1996-08-01,3.0494626e-317,2.7867300293902136e-06,0.9999972132699664
1996-09-01,4.089873086760696e-267,0.0032540759804802204,0.9967459240195156
1996-10-01,3.218889644382832e-145,0.48655500442473254,0.5134449955752634
1996-11-01,1.523299065481135e-93,0.9259810275882117,0.07401897241178415
1996-12-01,8.754512753724692e-87,0.9914038430316706,0.008596156968325342
1997-01-01,5.024413995370726e-66,0.9993131749242958,0.0006868250757001365
1997-02-01,1.5055378954083573e-91,0.9997284921787642,0.00027150782123171256
1997-03-01,5.4373542047063174e-133,0.9994732865333192,0.0005267134666768869
1997-04-01,2.0180906344788458e-97,0.9998166660114223,0.00018333398857384918
1997-05-01,6.82682305132364e-65,0.9999521117049546,4.78882950417074e-05
1997-06-01,1.0940621364829916e-46,0.999974562487374,2.543751262227945e-05
1997-07-01,1.4040889911355093e-21,0.9999813578672724,1.86421327240096e-05
1997-08-01,1.6625770076162885e-23,0.99998153867628,1.8461323716163462e-05
1997-09-01,1.2109686184845728e-12,0.9999790674385588,2.0932560226466114e-05
1997-10-01,1.3072003233818372e-05,0.9999626056095284,2.4322387234039866e-05
1997-11-01,0.012259156170744323,0.9877392369759177,1.606853334243495e-06
1997-12-01,0.939817205503074,0.06018277265826572,2.1838656447539897e-08
1998-01-01,0.9994395097919703,0.0005604892917060953,9.163197588818121e-10
1998-02-01,0.9999806434844368,1.9356510322213038e-05,5.2370872455842674e-12
1998-03-01,0.9999995857953689,4.1420459347727027e-07,3.377269534183307e-14
1998-04-01,0.999999799713525,2.0028647039763843e-07,5.944402684327104e-16
1998-05-01,0.9999998008364095,1.9916358625699893e-07,3.467181260868998e-16
1998-06-01,0.9999997593891673,2.406108282572527e-07,3.9170995646340124e-16
1998-07-01,0.9999997441443977,2.558555961418991e-07,2.172677847480122e-15
1998-08-01,0.9999988664387537,1.133561151625404e-06,9.052020982916065e-14
1998-09-01,0.9999813785613101,1.8621437756643045e-05,9.290281247390102e-13
1998-10-01,0.9999947258254079,5.27417430551115e-06,2.8217677246726053e-13
1998-11-01,0.999999758504808,2.414951714546002e-07,1.612354878382806e-14
1998-12-01,0.9999995639726625,4.3602733168503083e-07,1.1256475601512169e-15
1999-01-01,0.9999998006434924,1.9935650251664626e-07,6.818769576911128e-16
1999-02-01,0.9999997928712785,2.0712871658640406e-07,3.350548229755257e-16
1999-03-01,0.999999803402713,1.965972821086695e-07,3.202854690729512e-16
1999-04-01,0.99999978928039,2.1071960501922052e-07,3.095430926858336e-16
1999-05-01,0.9999997813974448,2.1860255015547477e-07,3.156892720862942e-16
1999-06-01,0.9999997941289956,2.0587099936358918e-07,3.3092555394895836e-16
1999-07-01,0.9999997876017868,2.1239820833697613e-07,3.0565966090327476e-16
1999-08-01,0.9999997939177324,2.0608226283096828e-07,3.007186915414873e-16
1999-09-01,0.9999998016685865,1.9833140866688828e-07,2.9153126420940537e-16
1999-10-01,0.9999998035037796,1.9649621569159065e-07,3.0556620637118925e-16
1999-11-01,0.999999793701721,2.062982742540992e-07,3.365191809751725e-16
1999-12-01,0.9999997981670538,2.018329415298346e-07,3.4140118507260545e-16
2000-01-01,0.999999795616434,2.043835612294881e-07,3.3464275366432827e-16
2000-02-01,0.9999998007801569,1.99219838461131e-07,3.1999785481320253e-16
2000-03-01,0.9999998007503643,1.9924963106464598e-07,2.8382077129167814e-16
2000-04-01,0.9999998017947505,1.982052447182425e-07,3.667500981586305e-16
2000-05-01,0.9999997452746522,2.5472534283045333e-07,5.825739006949151e-16
2000-06-01,0.9999996296701853,3.7032980929577073e-07,1.0699880000238871e-15
2000-07-01,0.9999995907273412,4.092726519008079e-07,2.7020772440766577e-15
2000-08-01,0.9999993295824929,6.704174965022207e-07,6.241842993404245e-15
2000-09-01,0.9999990515873408,9.484126406022101e-07,1.446591114232452e-14
2000-10-01,0.9999989781636606,1.021836296764908e-06,3.857642701807261e-14
2000-11-01,0.9999981439720897,1.8560278112237548e-06,9.506041727668164e-14
2000-12-01,0.999997362821952,2.637177924994394e-06,1.1911053879817201e-13
2001-01-01,0.9999986406827959,1.3593169503865354e-06,2.497707809718086e-13
2001-02-01,0.9999964047690432,3.595229682784365e-06,1.27030052836278e-12
